Iteration,Temperature,CurrentCost,BestCost
543,23.1093,3702.6,3509.86
544,22.9938,3702.6,3509.86
545,22.8788,3702.6,3509.86
546,22.7644,3702.6,3509.86
547,22.6506,3702.6,3509.86
548,22.5373,3702.6,3509.86
549,22.4246,3702.6,3509.86
550,22.3125,3702.6,3509.86
551,22.2009,3702.6,3509.86
552,22.0899,3702.6,3509.86
553,21.9795,3702.6,3509.86
554,21.8696,3702.6,3509.86
555,21.7602,3702.6,3509.86
556,21.6514,3702.6,3509.86
557,21.5432,3702.6,3509.86
558,21.4355,3702.6,3509.86
559,21.3283,3702.6,3509.86
560,21.2217,3680.42,3509.86
561,21.1155,3680.42,3509.86
562,21.01,3680.42,3509.86
563,20.9049,3680.42,3509.86
564,20.8004,3680.42,3509.86
565,20.6964,3680.42,3509.86
566,20.5929,3680.42,3509.86
567,20.4899,3680.42,3509.86
568,20.3875,3680.42,3509.86
569,20.2856,3680.42,3509.86
570,20.1841,3680.42,3509.86
571,20.0832,3680.42,3509.86
572,19.9828,3680.42,3509.86
573,19.8829,3680.42,3509.86
574,19.7835,3680.42,3509.86
575,19.6845,3680.42,3509.86
576,19.5861,3680.42,3509.86
577,19.4882,3680.42,3509.86
578,19.3908,3680.42,3509.86
579,19.2938,3680.42,3509.86
580,19.1973,3680.42,3509.86
581,19.1013,3680.42,3509.86
582,19.0058,3680.42,3509.86
583,18.9108,3680.42,3509.86
584,18.8163,3680.42,3509.86
585,18.7222,3680.42,3509.86
586,18.6286,3680.42,3509.86
587,18.5354,3680.42,3509.86
588,18.4427,3680.42,3509.86
589,18.3505,3680.42,3509.86
590,18.2588,3680.42,3509.86
591,18.1675,3680.42,3509.86
592,18.0766,3680.42,3509.86
593,17.9863,3680.42,3509.86
594,17.8963,3680.42,3509.86
595,17.8068,3680.42,3509.86
596,17.7178,3680.42,3509.86
597,17.6292,3680.42,3509.86
598,17.5411,3680.42,3509.86
599,17.4534,3680.42,3509.86
600,17.3661,3417.31,3417.31
601,17.2793,3417.31,3417.31
602,17.1929,3417.31,3417.31
603,17.1069,3417.31,3417.31
604,17.0214,3417.31,3417.31
605,16.9363,3417.31,3417.31
606,16.8516,3417.31,3417.31
607,16.7673,3417.31,3417.31
608,16.6835,3417.31,3417.31
609,16.6001,3417.31,3417.31
610,16.5171,3417.31,3417.31
611,16.4345,3417.31,3417.31
612,16.3523,3417.31,3417.31
613,16.2706,3417.31,3417.31
614,16.1892,3417.31,3417.31
615,16.1083,3417.31,3417.31
616,16.0277,3417.31,3417.31
617,15.9476,3417.31,3417.31
618,15.8678,3417.31,3417.31
619,15.7885,3417.31,3417.31
620,15.7096,3417.31,3417.31
621,15.631,3417.31,3417.31
622,15.5529,3417.31,3417.31
623,15.4751,3417.31,3417.31
624,15.3977,3417.31,3417.31
625,15.3207,3417.31,3417.31
626,15.2441,3417.31,3417.31
627,15.1679,3417.31,3417.31
628,15.0921,3417.31,3417.31
629,15.0166,3417.31,3417.31
630,14.9415,3417.31,3417.31
631,14.8668,3417.31,3417.31
632,14.7925,3364.42,3364.42
633,14.7185,3364.42,3364.42
634,14.6449,3272.7,3272.7
635,14.5717,3272.7,3272.7
636,14.4988,3272.7,3272.7
637,14.4263,3272.7,3272.7
638,14.3542,3272.7,3272.7
639,14.2824,3272.7,3272.7
640,14.211,3272.7,3272.7
641,14.14,3272.7,3272.7
642,14.0693,3272.7,3272.7
643,13.9989,3272.7,3272.7
644,13.9289,3272.7,3272.7
645,13.8593,3272.7,3272.7
646,13.79,3272.7,3272.7
